Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Ben Roethlisberger,PIT,20,29,226,2,0,0,0,49,115.0,1,-1,0,,0,0,0,0,,0,0
Landry Jones,PIT,0,1,0,0,0,0,0,0,39.6,2,-1,0,,0,0,0,0,,0,0
Le'Veon Bell,PIT,0,0,0,0,0,0,0,0,,14,69,1,22,8,5,28,0,10,0,0
Stevan Ridley,PIT,0,0,0,0,0,0,0,0,,9,28,0,7,0,0,0,0,0,0,0
Martavis Bryant,PIT,0,0,0,0,0,0,0,0,,1,8,0,8,4,3,60,0,36,0,0
Roosevelt Nix,PIT,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,0
JuJu Smith-Schuster,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,75,1,49,0,0
Vance McDonald,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,52,0,20,0,0
Eli Rogers,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,6,0,6,0,0
Justin Hunter,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,1,5,0,0
Jesse James,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
T.J. Yates,HOU,7,16,83,1,1,6,26,38,54.9,1,11,0,,0,0,0,0,,3,1
Taylor Heinicke,HOU,1,1,10,0,0,1,16,10,108.3,1,2,0,,0,0,0,0,,0,0
Alfred Blue,HOU,0,0,0,0,0,0,0,0,,16,108,0,48,0,0,0,0,0,0,0
Lamar Miller,HOU,0,0,0,0,0,0,0,0,,10,55,0,16,1,1,10,0,10,0,0
DeAndre Hopkins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,65,1,38,0,0
Will Fuller,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,10,0,10,0,0
Braxton Miller,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Ryan Malleck,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Stephen Anderson,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
