Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Alex Smith,KAN,25,34,263,2,1,2,8,56,102.9,5,19,0,,0,0,0,0,,0,0
Kareem Hunt,KAN,0,0,0,0,0,0,0,0,,9,37,0,19,5,4,24,0,11,0,0
Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,4,9,0,12,4,2,64,1,56,0,0
Charcandrick West,KAN,0,0,0,0,0,0,0,0,,1,3,0,3,6,5,30,0,12,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,73,1,22,0,0
De'Anthony Thomas,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,41,0,22,0,0
Demarcus Robinson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,10,0,0
Jehu Chesson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Ross Travis,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Demetrius Harris,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Dak Prescott,DAL,21,33,249,2,0,1,5,56,106.8,3,27,1,,0,0,0,0,,0,0
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,27,93,1,11,0,0,0,0,0,0,0
Alfred Morris,DAL,0,0,0,0,0,0,0,0,,1,11,0,11,0,0,0,0,0,0,0
Terrance Williams,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,9,141,0,56,0,0
Dez Bryant,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,73,0,21,0,0
Cole Beasley,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,24,2,7,0,0
Brice Butler,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,6,0,6,0,0
Jason Witten,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
James Hanna,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
