Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Matt Milano,BUF,1,29,0,29,1,0.0,6,3,3,0,0,0,0,0,0
Micah Hyde,BUF,1,16,0,16,1,0.0,2,0,2,0,0,0,0,0,0
Jordan Poyer,BUF,0,0,0,0,0,1.0,6,3,3,1,1,0,0,0,0
Jerry Hughes,BUF,0,0,0,0,1,1.0,3,2,1,2,2,0,0,0,0
Shaq Lawson,BUF,0,0,0,0,1,1.0,3,2,1,1,2,0,0,0,0
Tremaine Edmunds,BUF,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0
Rafael Bush,BUF,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
Deon Lacey,BUF,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Lorenzo Alexander,BUF,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
Taron Johnson,BUF,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Ryan Lewis,BUF,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Siran Neal,BUF,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Harrison Phillips,BUF,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Tre'Davious White,BUF,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Eddie Yarbrough,BUF,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Reid Ferguson,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Star Lotulelei,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jordan Phillips,BUF,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
Logan Thomas,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Levi Wallace,BUF,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
Kyle Williams,BUF,0,0,0,0,1,0.0,1,0,1,0,2,0,0,0,0
Jason Croom,BUF,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0
Jamal Adams,NYJ,0,0,0,0,1,0.5,4,3,1,1,2,0,0,0,0
Jordan Jenkins,NYJ,0,0,0,0,0,0.5,3,1,2,0,1,0,0,0,0
Darron Lee,NYJ,0,0,0,0,0,0.0,11,5,6,0,0,0,0,0,0
Avery Williamson,NYJ,0,0,0,0,0,0.0,11,7,4,1,0,0,0,0,1
Marcus Maye,NYJ,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Mike Pennel,NYJ,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Nathan Shepherd,NYJ,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Buster Skrine,NYJ,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Morris Claiborne,NYJ,0,0,0,0,4,0.0,4,1,3,0,0,0,0,0,0
Henry Anderson,NYJ,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
Trumaine Johnson,NYJ,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Jeremiah Attaochu,NYJ,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Brandon Copeland,NYJ,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Neville Hewitt,NYJ,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Steve McLendon,NYJ,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Leonard Williams,NYJ,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
Tarell Basham,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Terrence Brooks,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Frankie Luvu,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Charone Peake,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kevin Pierre-Louis,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
