Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Patrick Mahomes,KAN,33,46,478,6,3,3,30,73,117.6,6,28,0,,0,0,0,0,,2,2
Kareem Hunt,KAN,0,0,0,0,0,0,0,0,,14,70,0,27,4,3,41,1,21,0,0
Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,14,10,215,2,73,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,15,10,127,1,37,0,0
Chris Conley,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,74,2,27,0,0
Demarcus Robinson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,0
Sammy Watkins,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Demetrius Harris,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Jared Goff,LAR,31,49,413,4,0,5,34,40,117.1,4,6,1,,0,0,0,0,,2,2
Todd Gurley,LAR,0,0,0,0,0,0,0,0,,12,55,0,24,3,3,39,0,19,0,0
Malcolm Brown,LAR,0,0,0,0,0,0,0,0,,4,15,0,8,0,0,0,0,0,0,0
Brandin Cooks,LAR,0,0,0,0,0,0,0,0,,1,0,0,0,12,8,107,0,30,0,0
Josh Reynolds,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,80,1,27,0,0
Robert Woods,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,11,4,72,1,36,0,0
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,63,0,16,1,0
Gerald Everett,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,49,2,40,0,0
KhaDarel Hodge,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
