Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Mark Sanchez,WAS,13,21,100,0,1,2,13,20,53.7,1,8,0,,0,0,0,0,,1,0
Colt McCoy,WAS,4,4,50,0,0,1,6,32,118.7,0,0,0,,0,0,0,0,,0,0
Adrian Peterson,WAS,0,0,0,0,0,0,0,0,,9,98,1,90,0,0,0,0,0,0,0
Chris Thompson,WAS,0,0,0,0,0,0,0,0,,3,3,0,7,5,3,18,0,9,1,0
Josh Doctson,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,51,0,32,0,0
Jordan Reed,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,21,0,7,0,0
Vernon Davis,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,9,0,0
Michael Floyd,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
Maurice Harris,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jamison Crowder,WAS,0,0,0,0,0,0,0,0,,1,-5,0,-5,4,4,36,0,11,0,0
Carson Wentz,PHI,27,39,306,2,1,0,0,39,98.9,4,-4,0,,0,0,0,0,,1,0
Josh Adams,PHI,0,0,0,0,0,0,0,0,,20,85,0,18,0,0,0,0,0,0,0
Corey Clement,PHI,0,0,0,0,0,0,0,0,,5,27,0,11,3,3,47,0,23,1,0
Darren Sproles,PHI,0,0,0,0,0,0,0,0,,4,22,1,14,0,0,0,0,0,0,0
Golden Tate,PHI,0,0,0,0,0,0,0,,,0,0,0,,7,7,85,1,,1,0
Zach Ertz,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,9,83,0,20,0,0
Nelson Agholor,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,56,0,39,0,0
Alshon Jeffery,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,31,0,16,0,0
Jordan Matthews,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,1,4,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
