Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Kirk Cousins,MIN,20,33,208,1,0,2,9,48,89.0,3,5,0,,0,0,0,0,,1,1
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,13,55,0,13,7,5,28,1,17,0,0
Adam Thielen,MIN,0,0,0,0,0,0,0,0,,1,8,0,8,7,5,70,0,35,0,0
Stefon Diggs,MIN,0,0,0,0,0,0,0,0,,1,5,0,5,6,4,76,0,48,0,0
Latavius Murray,MIN,0,0,0,0,0,0,0,0,,3,4,0,2,0,0,0,0,0,0,0
Laquon Treadwell,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,16,0,7,0,0
Tyler Conklin,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
Kyle Rudolph,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,7,0,5,0,0
Aldrick Robinson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Russell Wilson,SEA,10,20,72,0,1,2,12,14,37.9,7,61,0,,0,0,0,0,,0,0
Chris Carson,SEA,0,0,0,0,0,0,0,0,,22,90,1,11,0,0,0,0,0,0,0
Rashaad Penny,SEA,0,0,0,0,0,0,0,0,,8,44,0,17,0,0,0,0,0,0,0
Mike Davis,SEA,0,0,0,0,0,0,0,0,,3,22,0,13,1,1,5,0,5,0,0
Nick Vannett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
George Fant,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Ed Dickson,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
David Moore,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0
Jaron Brown,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
Tyler Lockett,SEA,0,0,0,0,0,0,0,,,2,-3,0,,6,5,42,0,,0,0
