Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Akiem Hicks,CHI,0,0,0,0,0,1.5,3,2,1,1,2,0,0,0,0
Eddie Goldman,CHI,0,0,0,0,0,1.0,4,2,2,1,1,0,0,0,0
Bilal Nichols,CHI,0,0,0,0,0,1.0,2,2,0,1,3,0,0,0,0
Roy Robertson-Harris,CHI,0,0,0,0,0,0.5,1,0,1,0,2,0,0,0,0
Leonard Floyd,CHI,0,0,0,0,0,0.0,6,3,3,1,0,0,0,0,0
Adrian Amos,CHI,0,0,0,0,1,0.0,5,5,0,0,0,0,0,0,0
Roquan Smith,CHI,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Sherrick McManis,CHI,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Prince Amukamara,CHI,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Kyle Fuller,CHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Danny Trevathan,CHI,0,0,0,0,0,0.0,3,2,1,2,0,0,0,0,0
DeAndre Houston-Carson,CHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Isaiah Irving,CHI,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Joel Iyiegbuniwe,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nick Kwiatkoski,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kevin Toliver,CHI,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Marcus Williams,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tarik Cohen,CHI,0,0,0,0,0,0.0,0,0,0,,,1,0,0,0
Eric Wilson,MIN,0,0,0,0,0,0.0,10,5,5,0,0,0,0,0,0
Holton Hill,MIN,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Ben Gedeon,MIN,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
Everson Griffen,MIN,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Harrison Smith,MIN,0,0,0,0,0,0.0,6,6,0,1,0,0,0,0,0
Anthony Harris,MIN,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Trae Waynes,MIN,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Danielle Hunter,MIN,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Linval Joseph,MIN,0,0,0,0,0,0.0,4,3,1,0,1,0,0,0,0
Mackensie Alexander,MIN,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Jayron Kearse,MIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Stephen Weatherly,MIN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Anthony Barr,MIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kentrell Brothers,MIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Tom Johnson,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Sheldon Richardson,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
