Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Derek Carr,OAK,29,32,288,1,0,1,7,30,114.6,0,0,0,,0,0,0,0,,0,0
Marshawn Lynch,OAK,0,0,0,0,0,0,0,0,,18,65,1,11,2,2,3,0,7,0,0
Doug Martin,OAK,0,0,0,0,0,0,0,0,,7,24,0,6,1,1,0,0,0,0,0
Jalen Richard,OAK,0,0,0,0,0,0,0,0,,2,3,0,2,0,0,0,0,0,0,0
Amari Cooper,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,10,10,116,0,30,0,0
Jared Cook,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,49,0,20,0,0
Seth Roberts,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,43,1,20,0,0
Martavis Bryant,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,30,0,16,0,0
Jordy Nelson,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,30,0,23,0,0
Keith Smith,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,7,0,0
Derek Carrier,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Case Keenum,DEN,19,35,222,0,1,1,5,26,61.8,3,16,1,,0,0,0,0,,0,0
Phillip Lindsay,DEN,0,0,0,0,0,0,0,0,,14,107,0,53,1,1,4,0,4,0,0
Royce Freeman,DEN,0,0,0,0,0,0,0,0,,8,28,1,14,1,0,0,0,0,0,0
Devontae Booker,DEN,0,0,0,0,0,0,0,0,,3,17,0,11,0,0,0,0,0,0,0
Emmanuel Sanders,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,96,0,23,0,0
Jake Butt,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,48,0,22,0,0
Tim Patrick,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,26,0,26,0,0
Demaryius Thomas,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,18,0,7,0,0
Andy Janovich,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Jeff Heuerman,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,10,0,6,0,0
Courtland Sutton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,9,0,9,0,0
