Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Ben Roethlisberger,PIT,32,46,369,1,0,0,0,48,100.7,1,-1,0,,1,1,-1,0,,0,0
James Conner,PIT,0,0,0,0,0,0,0,0,,19,111,2,26,7,4,18,0,8,0,0
Stevan Ridley,PIT,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
JuJu Smith-Schuster,PIT,0,0,0,0,0,0,0,,,0,0,0,,10,7,111,0,,0,0
Antonio Brown,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,105,1,48,0,0
Vance McDonald,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,68,0,26,1,0
Xavier Grimble,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,35,0,22,0,0
Jesse James,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,26,0,9,0,0
Ryan Switzer,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Justin Hunter,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Roosevelt Nix,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
James Washington,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Andy Dalton,CIN,26,42,229,2,0,3,16,23,92.3,0,0,0,,0,0,0,0,,0,0
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,11,64,1,17,7,4,20,0,8,0,0
A.J. Green,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,85,0,23,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,62,2,16,0,0
C.J. Uzomah,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,54,0,13,0,0
Alex Erickson,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,8,0,6,0,0
Cody Core,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Mark Walton,CIN,0,0,0,0,0,0,0,0,,2,-2,0,-1,0,0,0,0,0,0,0
