Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Eli Manning,NYG,27,38,399,1,0,4,27,58,113.8,3,7,0,,0,0,0,0,,0,0
Saquon Barkley,NYG,0,0,0,0,0,0,0,,,14,43,1,,10,9,51,0,,0,0
Evan Engram,NYG,0,0,0,0,0,0,0,0,,1,10,0,10,4,2,16,0,9,0,0
Elijhaa Penny,NYG,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Sterling Shepard,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,167,0,58,0,0
Rhett Ellison,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,7,0,0
Bennie Fowler,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Scott Simonson,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Odell Beckham Jr.,NYG,0,0,0,0,0,0,0,0,,1,-1,0,-1,11,8,143,1,51,0,0
Matt Ryan,ATL,31,39,379,1,0,3,23,47,115.7,2,1,0,,0,0,0,0,,0,0
Tevin Coleman,ATL,0,0,0,0,0,0,0,0,,11,50,1,30,2,2,32,0,32,0,0
Ito Smith,ATL,0,0,0,0,0,0,0,0,,7,16,0,6,2,2,29,0,20,0,0
Julio Jones,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,104,0,19,1,1
Marvin Hall,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,63,1,47,0,0
Austin Hooper,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,48,0,36,0,0
Calvin Ridley,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,43,0,19,0,0
Justin Hardy,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,24,0,15,0,0
Mohamed Sanu,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,0,16,0,0
Eric Saubert,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Ricky Ortiz,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,0,7,0,0
