Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Antonio Morrison,GNB,0,0,0,0,0,1.0,8,5,3,1,1,0,0,0,0
Mike Daniels,GNB,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Bashaud Breeland,GNB,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0
Blake Martinez,GNB,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
Josh Jones,GNB,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Tramon Williams,GNB,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Jaire Alexander,GNB,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Jermaine Whitehead,GNB,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Kentrell Brice,GNB,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Kenny Clark,GNB,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Josh Jackson,GNB,0,0,0,0,2,0.0,2,0,2,0,0,0,0,0,0
Kevin King,GNB,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Tyler Lancaster,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Dean Lowry,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Clay Matthews,GNB,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
Oren Burks,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
James Crawford,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kyler Fackrell,GNB,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Reggie Gilbert,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
J'Mon Moore,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nick Perry,GNB,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Trey Flowers,NWE,0,0,0,0,0,0.5,5,2,3,0,1,0,0,0,0
Adrian Clayborn,NWE,0,0,0,0,0,0.5,3,2,1,0,2,0,0,0,1
Kyle Van Noy,NWE,0,0,0,0,0,0.0,9,3,6,0,0,0,0,0,0
Patrick Chung,NWE,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Lawrence Guy,NWE,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,1
Dont'a Hightower,NWE,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Jonathan Jones,NWE,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Devin McCourty,NWE,0,0,0,0,1,0.0,4,2,2,0,0,0,0,0,0
Adam Butler,NWE,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Stephon Gilmore,NWE,0,0,0,0,1,0.0,3,3,0,0,0,1,0,0,0
Duron Harmon,NWE,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Jason McCourty,NWE,0,0,0,0,2,0.0,3,3,0,0,0,0,0,0,0
Deatrich Wise Jr.,NWE,0,0,0,0,0,0.0,3,1,2,0,2,0,0,0,0
Malcom Brown,NWE,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Danny Shelton,NWE,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
John Simon,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Matthew Slater,NWE,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Nate Ebner,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
J.C. Jackson,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brandon King,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Keionta Davis,NWE,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
