Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Sam Darnold,NYJ,21,39,229,0,4,4,27,28,31.8,0,0,0,,0,0,0,0,,0,0
Isaiah Crowell,NYJ,0,0,0,0,0,0,0,0,,13,49,0,12,2,1,11,0,11,0,0
Elijah McGuire,NYJ,0,0,0,0,0,0,0,0,,7,30,0,14,5,3,37,0,20,0,0
Robbie Chosen,NYJ,0,0,0,0,0,0,0,0,,1,1,0,1,7,4,32,0,17,0,0
Chris Herndon,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,62,0,28,0,0
Quincy Enunwa,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,40,0,23,0,0
Jermaine Kearse,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,20,0,9,0,0
Trenton Cannon,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Eric Tomlinson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Jordan Leggett,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Deontay Burnett,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Brock Osweiler,MIA,15,24,139,0,0,4,35,26,78.3,3,4,0,,0,0,0,0,,0,0
Frank Gore,MIA,0,0,0,0,0,0,0,0,,20,53,0,8,1,1,6,0,6,0,0
Kenyan Drake,MIA,0,0,0,0,0,0,0,0,,3,9,0,5,6,4,26,0,9,0,0
Danny Amendola,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,47,0,26,0,0
Kenny Stills,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,19,0,19,0,0
Jakeem Grant,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,16,0,16,0,0
DeVante Parker,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Kalen Ballage,MIA,0,0,0,0,0,0,0,0,,1,-2,0,-2,2,2,17,0,9,0,0
