Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Jared Goff,LAR,23,39,186,1,1,1,3,24,69.0,4,0,0,3,0,0,0,0,0,1,0
Todd Gurley,LAR,0,0,0,0,0,0,0,0,,14,97,0,25,1,1,4,0,4,0,0
Malcolm Brown,LAR,0,0,0,0,0,0,0,0,,11,53,2,17,0,0,0,0,0,0,0
Robert Woods,LAR,0,0,0,0,0,0,0,0,,2,16,0,20,13,8,70,0,22,0,0
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,46,0,10,0,0
Brandin Cooks,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,39,0,24,0,0
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,20,1,6,0,0
Gerald Everett,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Darrell Henderson,LAR,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Josh Reynolds,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Cam Newton,CAR,25,38,239,0,1,3,23,17,72.1,3,-2,0,3,0,0,0,0,0,1,1
Christian McCaffrey,CAR,0,0,0,0,0,0,0,0,,19,128,2,23,11,10,81,0,17,0,0
Alex Armah,CAR,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,0
D.J. Moore,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,76,0,15,1,1
Greg Olsen,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,36,0,14,0,0
Curtis Samuel,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,32,0,16,0,0
Jarius Wright,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
Chris Hogan,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Ian Thomas,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
