Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Tom Brady,NWE,15,29,128,2,0,2,12,23,86.6,2,-2,0,-1,0,0,0,0,0,0,0
Sony Michel,NWE,0,0,0,0,0,0,0,0,,19,89,0,12,2,1,14,0,14,1,0
Rex Burkhead,NWE,0,0,0,0,0,0,0,0,,6,53,1,33,2,2,6,0,4,0,0
N'Keal Harry,NWE,0,0,0,0,0,0,0,0,,2,22,0,12,4,2,15,1,8,0,0
James White,NWE,0,0,0,0,0,0,0,0,,3,13,0,13,4,3,49,1,23,0,0
Matt LaCosse,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,22,0,14,0,0
Mohamed Sanu,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,13,0,7,0,0
Julian Edelman,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,9,0,11,0,0
Andy Dalton,CIN,17,31,151,1,4,0,0,24,39.2,2,1,0,2,0,0,0,0,0,0,0
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,25,136,0,29,3,3,20,0,11,0,0
Giovani Bernard,CIN,0,0,0,0,0,0,0,0,,5,27,0,17,2,2,10,0,9,0,0
Tyler Eifert,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,44,0,24,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,26,0,16,0,0
John Ross,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,24,0,20,0,0
Cethan Carter,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,1,8,0,0
C.J. Uzomah,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Alex Erickson,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,6,0,6,1,1
