Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Gardner Minshew II,JAX,13,31,181,1,0,3,15,42,72.1,7,36,0,17,0,0,0,0,0,0,0
Logan Cooke,JAX,1,1,7,0,0,0,0,7,95.8,0,0,0,0,0,0,0,0,0,0,0
Leonard Fournette,JAX,0,0,0,0,0,0,0,0,,15,71,0,23,6,3,34,0,16,0,0
Keelan Cole,JAX,0,0,0,0,0,0,0,0,,1,6,0,6,2,1,23,0,23,0,0
Ryquell Armstead,JAX,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Chris Conley,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,56,1,42,0,0
Seth Devalve,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,45,0,20,0,0
DJ Chark,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,18,0,17,0,0
Cody Davis,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Dede Westbrook,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,5,0,3,0,0
Matt Ryan,ATL,32,45,384,1,2,1,1,32,85.8,4,6,0,9,0,0,0,0,0,0,0
Brian Hill,ATL,0,0,0,0,0,0,0,0,,7,66,0,18,0,0,0,0,0,0,0
Devonta Freeman,ATL,0,0,0,0,0,0,0,0,,13,53,1,17,10,9,74,1,16,0,0
Russell Gage,ATL,0,0,0,0,0,0,0,0,,2,7,0,4,6,5,49,0,17,0,0
Qadree Ollison,ATL,0,0,0,0,0,0,0,0,,1,3,1,3,0,0,0,0,0,0,0
Julio Jones,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,15,10,166,0,32,0,0
Austin Hooper,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,82,0,31,0,0
Keith Smith,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Justin Hardy,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Luke Stocker,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
