Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Philip Rivers,LAC,31,46,281,2,2,3,23,23,80.1,1,5,0,5,0,0,0,0,0,0,0
Melvin Gordon,LAC,0,0,0,0,0,0,0,0,,14,46,1,15,7,6,76,0,23,0,0
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,9,46,0,22,11,9,43,0,14,0,0
Justin Jackson,LAC,0,0,0,0,0,0,0,0,,1,11,0,11,0,0,0,0,0,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,10,9,82,1,13,0,0
Hunter Henry,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,42,1,19,0,0
Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,38,0,22,0,0
Virgil Green,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jason Moore,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Andre Patton,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Patrick Mahomes,KAN,16,25,174,1,1,0,0,47,81.1,7,21,0,11,0,0,0,0,0,0,0
Damien Williams,KAN,0,0,0,0,0,0,0,0,,12,124,2,84,7,4,30,0,13,0,0
Darwin Thompson,KAN,0,0,0,0,0,0,0,0,,4,17,0,6,1,1,-4,0,-4,0,0
Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,61,0,47,0,0
Mecole Hardman,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,30,0,30,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,24,0,11,0,0
Demarcus Robinson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,24,1,24,0,0
Sammy Watkins,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Blake Bell,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,1,0,1,0,0
