Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Josh Allen,BUF,19,30,253,1,0,3,16,51,101.1,7,21,1,9,0,0,0,0,0,0,0
Frank Gore,BUF,0,0,0,0,0,0,0,0,,19,68,1,9,2,2,15,0,9,0,0
Devin Singletary,BUF,0,0,0,0,0,0,0,0,,6,57,1,20,0,0,0,0,0,0,0
Isaiah McKenzie,BUF,0,0,0,0,0,0,0,0,,1,4,0,4,2,2,40,1,26,0,0
Patrick DiMarco,BUF,0,0,0,0,0,0,0,0,,1,1,0,1,1,1,3,0,3,0,0
Cole Beasley,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,83,0,51,0,0
John Brown,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,72,0,17,0,0
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,18,0,18,0,0
Zay Jones,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,14,0,14,0,0
Lee Smith,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Tommy Sweeney,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Robert Foster,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Eli Manning,NYG,26,45,250,1,2,1,9,33,62.3,1,2,0,2,0,0,0,0,0,1,0
Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,18,107,1,27,7,3,28,0,19,0,0
Bennie Fowler,NYG,0,0,0,0,0,0,0,0,,1,20,0,20,10,5,51,0,14,0,0
Evan Engram,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,48,0,33,0,0
T.J. Jones,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,38,1,28,0,0
Cody Latimer,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,30,0,14,0,0
Cody Core,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,28,0,11,0,0
Russell Shepard,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,19,0,12,0,0
Rhett Ellison,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Wayne Gallman,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
