Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Baker Mayfield,CLE,19,35,325,1,1,3,20,89,83.6,0,0,0,0,0,0,0,0,0,0,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,18,62,1,19,4,4,36,0,13,0,0
D'Ernest Johnson,CLE,0,0,0,0,0,0,0,0,,3,8,0,6,4,3,42,0,27,0,0
Odell Beckham Jr.,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,161,1,89,0,0
Damion Ratley,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,50,0,29,0,0
Jarvis Landry,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,32,0,25,0,0
Demetrius Harris,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Pharaoh Brown,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Taywan Taylor,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Luke Falk,NYJ,20,25,198,0,0,2,15,36,99.7,0,0,0,0,0,0,0,0,0,0,0
Trevor Siemian,NYJ,3,6,3,0,0,2,17,3,56.2,0,0,0,0,0,0,0,0,0,0,0
Le'Veon Bell,NYJ,0,0,0,0,0,0,0,0,,21,68,0,8,10,10,61,0,17,1,1
Ty Montgomery,NYJ,0,0,0,0,0,0,0,0,,3,25,0,15,3,3,15,0,9,0,0
Robbie Chosen,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,81,0,36,0,0
Jamison Crowder,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,40,0,30,0,0
Josh Bellamy,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Ryan Griffin,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Demaryius Thomas,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,-1,0,-1,0,0
