Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Kirk Cousins,MIN,14,32,230,1,2,1,7,61,52.9,2,17,0,11,0,0,0,0,0,2,1
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,20,154,1,75,3,3,37,0,13,0,0
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,4,25,0,14,0,0,0,0,0,0,0
Ameer Abdullah,MIN,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Adam Thielen,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,75,0,30,0,0
Chad Beebe,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,61,0,61,2,0
Stefon Diggs,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,1,49,1,45,1,1
Kyle Rudolph,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,9,0,5,0,0
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Irv Smith Jr.,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,-1,0,-1,0,0
Aaron Rodgers,GNB,22,34,209,2,0,2,18,39,101.2,1,0,0,0,0,0,0,0,0,1,1
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,23,116,1,15,6,4,34,0,15,0,0
Jamaal Williams,GNB,0,0,0,0,0,0,0,0,,9,28,0,10,4,3,13,1,15,0,0
Davante Adams,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,106,0,39,0,0
Geronimo Allison,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,25,1,12,1,1
Marquez Valdes-Scantling,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,19,0,14,0,0
Jake Kumerow,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Marcedes Lewis,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jimmy Graham,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
