Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Kyle Allen,CAR,24,34,232,0,0,3,29,27,89.3,0,0,0,0,0,0,0,0,0,3,3
Christian McCaffrey,CAR,0,0,0,0,0,0,0,0,,27,93,1,13,10,10,86,0,21,0,0
Curtis Samuel,CAR,0,0,0,0,0,0,0,0,,1,1,0,1,7,3,32,0,12,0,0
Jarius Wright,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,59,0,27,0,0
D.J. Moore,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,44,0,16,0,0
Chris Hogan,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Greg Olsen,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,5,0,3,0,0
Deshaun Watson,HOU,21,33,160,0,0,6,32,14,75.3,3,12,1,10,0,0,0,0,0,1,1
DeAndre Hopkins,HOU,0,1,0,0,1,0,0,0,0.0,0,0,0,0,8,5,41,0,14,0,0
Carlos Hyde,HOU,0,0,0,0,0,0,0,0,,12,58,0,25,5,4,6,0,6,0,0
Duke Johnson,HOU,0,0,0,0,0,0,0,0,,6,56,0,40,3,2,22,0,12,0,0
Keke Coutee,HOU,0,0,0,0,0,0,0,0,,1,10,0,10,3,1,11,0,11,0,0
Kenny Stills,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,24,0,14,0,0
Will Fuller,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,23,0,12,0,0
Jordan Akins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,21,0,10,0,0
Darren Fells,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
