Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Myles Jack,JAX,1,14,0,14,2,0.0,5,3,2,0,0,0,0,0,0
Ronnie Harrison,JAX,1,35,0,35,2,0.0,3,2,1,0,0,1,0,0,0
Yannick Ngakoue,JAX,1,23,1,23,1,0.0,2,2,0,1,1,0,0,0,0
Josh Hines-Allen,JAX,0,0,0,0,0,1.0,2,2,0,2,1,0,0,0,0
Abry Jones,JAX,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
A.J. Bouye,JAX,0,0,0,0,1,0.0,6,6,0,0,0,0,0,0,0
D.J. Alexander,JAX,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Jarrod Wilson,JAX,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
Taven Bryan,JAX,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
Calais Campbell,JAX,0,0,0,0,0,0.0,3,2,1,1,3,0,0,0,0
D.J. Hayden,JAX,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,1
Tre Herndon,JAX,0,0,0,0,2,0.0,3,2,1,0,0,0,0,0,0
Leon Jacobs,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Quincy Williams,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Marcell Dareus,JAX,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Cody Davis,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Leonard Fournette,JAX,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Geno Atkins,CIN,0,0,0,0,0,2.0,6,4,2,2,2,0,0,0,0
Jessie Bates III,CIN,0,0,0,0,0,0.0,12,8,4,0,0,0,0,0,0
Nick Vigil,CIN,0,0,0,0,0,0.0,9,4,5,0,0,0,0,0,0
Shawn Williams,CIN,0,0,0,0,0,0.0,8,7,1,2,0,0,0,0,0
Germaine Pratt,CIN,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Andrew Brown,CIN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Darqueze Dennard,CIN,0,0,0,0,2,0.0,5,5,0,0,0,0,0,0,0
Sam Hubbard,CIN,0,0,0,0,2,0.0,5,4,1,2,0,0,0,0,0
Tony McRae,CIN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Josh Tupou,CIN,0,0,0,0,0,0.0,4,0,4,0,0,0,0,0,0
Preston Brown,CIN,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
B.W. Webb,CIN,0,0,0,0,2,0.0,3,2,1,0,0,0,0,0,0
Cethan Carter,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Brandon Wilson,CIN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Andrew Billings,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ryan Glasgow,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Renell Wren,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
