Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Daniel Jones,NYG,28,41,322,4,0,3,32,38,124.2,4,13,0,9,0,0,0,0,0,2,1
Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,19,64,0,13,10,8,79,1,38,0,0
Elijhaa Penny,NYG,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Golden Tate,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,85,0,18,0,0
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,50,2,28,0,0
Evan Engram,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,40,1,18,0,0
Cody Latimer,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,28,0,18,0,0
Bennie Fowler,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,0,12,0,0
Wayne Gallman,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0
Rhett Ellison,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,-1,0,-1,0,0
Matthew Stafford,DET,25,32,342,3,1,4,26,49,129.4,2,-3,0,-1,0,0,0,0,0,0,0
Tra Carson,DET,0,0,0,0,0,0,0,0,,12,34,0,12,0,0,0,0,0,0,0
Ty Johnson,DET,0,0,0,0,0,0,0,0,,7,25,0,14,4,1,13,0,13,0,0
Paul Perkins,DET,0,0,0,0,0,0,0,0,,3,4,0,2,0,0,0,0,0,0,0
Kenny Golladay,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,123,2,41,1,1
Danny Amendola,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,8,95,0,25,0,0
Marvin Hall,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,49,1,49,0,0
Marvin Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,22,0,6,0,0
T.J. Hockenson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,0,21,0,0
Logan Thomas,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0
J.D. McKissic,DET,0,0,0,0,0,0,0,0,,1,-1,0,-1,3,3,2,0,5,0,0
