Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Kirk Cousins,MIN,19,38,220,3,0,1,8,32,94.2,1,5,0,5,0,0,0,0,0,0,0
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,21,71,0,12,7,4,45,0,22,0,0
Stefon Diggs,MIN,0,0,0,0,0,0,0,0,,1,12,0,12,5,1,4,0,4,0,0
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,3,6,0,3,1,0,0,0,0,0,0
Ameer Abdullah,MIN,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,16,1,16,0,0
Laquon Treadwell,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,58,0,26,0,0
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,37,0,32,0,0
Irv Smith Jr.,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,33,0,21,0,0
Kyle Rudolph,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,23,1,15,0,0
Olabisi Johnson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,1,4,0,0
Adam Thielen,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Matt Moore,KAN,25,35,275,1,0,5,45,41,103.9,0,0,0,0,0,0,0,0,0,2,0
Damien Williams,KAN,0,0,0,0,0,0,0,0,,12,125,1,91,2,2,3,0,5,0,0
LeSean McCoy,KAN,0,0,0,0,0,0,0,0,,3,9,0,7,1,1,0,0,0,0,0
Mecole Hardman,KAN,0,0,0,0,0,0,0,0,,1,7,0,7,0,0,0,0,0,1,1
Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,1,5,0,5,9,6,140,1,41,0,0
Darrel Williams,KAN,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Sammy Watkins,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,63,0,17,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,62,0,17,0,0
Demarcus Robinson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Blake Bell,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
