Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Jimmy Garoppolo,SFO,28,37,317,4,0,1,7,32,136.9,3,2,0,4,0,0,0,0,0,0,0
Matt Breida,SFO,0,0,0,0,0,0,0,0,,15,78,0,31,2,2,14,0,9,0,0
Tevin Coleman,SFO,0,0,0,0,0,0,0,0,,12,23,0,8,4,2,13,0,9,0,0
Emmanuel Sanders,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,112,1,32,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,79,1,30,0,0
Deebo Samuel,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,40,0,17,0,0
Ross Dwelley,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,29,0,11,0,0
Dante Pettis,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,1,21,0,0
Kendrick Bourne,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,1,7,0,0
Jeff Wilson,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Raheem Mostert,SFO,0,0,0,0,0,0,0,0,,1,-2,0,-2,0,0,0,0,0,0,0
Kyler Murray,ARI,17,24,241,2,0,3,37,88,130.7,5,34,0,21,0,0,0,0,0,0,0
Kenyan Drake,ARI,0,0,0,0,0,0,0,0,,15,110,1,36,4,4,52,0,21,0,0
Christian Kirk,ARI,0,0,0,0,0,0,0,0,,1,8,0,8,5,2,8,0,5,0,0
Alfred Morris,ARI,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
Andy Isabella,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,88,1,88,0,0
Larry Fitzgerald,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,38,0,20,0,0
KeeSean Johnson,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,1,13,0,0
Pharoh Cooper,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,9,0,0
Maxx Williams,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0
Charles Clay,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Zach Zenner,ARI,0,0,0,0,0,0,0,0,,1,-3,0,-3,0,0,0,0,0,0,0
