Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Kyler Murray,ARI,23,34,170,0,1,2,10,19,67.0,5,31,0,15,0,0,0,0,0,0,0
Kenyan Drake,ARI,0,0,0,0,0,0,0,0,,22,78,2,14,4,3,15,0,6,0,0
Chase Edmonds,ARI,0,0,0,0,0,0,0,0,,6,29,0,9,5,4,14,0,7,0,0
DeAndre Hopkins,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,55,0,16,0,0
Andy Isabella,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,33,0,19,0,0
Christian Kirk,ARI,0,0,0,0,0,0,0,0,,1,0,0,0,6,3,19,0,8,0,0
Dan Arnold,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,17,0,17,0,0
Maxx Williams,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,0,6,0,0
KeeSean Johnson,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Cam Newton,NWE,9,18,84,0,2,3,15,17,23.6,9,46,0,14,0,0,0,0,0,0,0
Damien Harris,NWE,0,0,0,0,0,0,0,0,,14,47,0,18,0,0,0,0,0,0,0
James White,NWE,0,0,0,0,0,0,0,0,,5,18,2,7,1,1,-1,0,-1,0,0
Gunner Olszewski,NWE,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Jakobi Meyers,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,52,0,17,0,0
Damiere Byrd,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,33,0,17,0,0
N'Keal Harry,NWE,0,0,0,0,0,0,0,0,,1,-2,0,-2,2,0,0,0,0,0,0
