Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
J.C. Jackson,NWE,1,5,0,5,1,0.0,4,3,1,0,0,0,0,0,0
Adrian Phillips,NWE,0,0,0,0,0,1.0,7,6,1,1,1,0,0,0,0
Adam Butler,NWE,0,0,0,0,0,1.0,4,2,2,1,1,0,0,0,0
Terez Hall,NWE,0,0,0,0,0,0.0,13,11,2,0,0,0,0,0,0
Lawrence Guy,NWE,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0
Kyle Dugger,NWE,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Devin McCourty,NWE,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Ja'Whaun Bentley,NWE,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
Tashawn Bower,NWE,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Shilique Calhoun,NWE,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
John Simon,NWE,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Anfernee Jennings,NWE,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Justin Bethel,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Myles Bryant,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Stephon Gilmore,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Josh Uche,NWE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Deatrich Wise Jr.,NWE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Byron Cowart,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jonathan Jones,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
James White,NWE,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Chase Winovich,NWE,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Jerome Baker,MIA,0,0,0,0,0,1.0,8,7,1,1,1,0,0,0,1
Zach Sieler,MIA,0,0,0,0,0,1.0,5,3,2,1,1,0,0,0,0
Emmanuel Ogbah,MIA,0,0,0,0,0,1.0,3,1,2,1,1,0,0,0,0
Elandon Roberts,MIA,0,0,0,0,0,0.0,9,5,4,0,0,1,0,0,0
Brandon Jones,MIA,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,1
Xavien Howard,MIA,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,1
Nik Needham,MIA,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Eric Rowe,MIA,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Kyle Van Noy,MIA,0,0,0,0,1,0.0,3,2,1,1,0,0,0,0,0
Christian Wilkins,MIA,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Shaq Lawson,MIA,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Raekwon Davis,MIA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Samuel Eguavoen,MIA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Clayton Fejedelem,MIA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Byron Jones,MIA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jamal Perry,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Andrew Van Ginkel,MIA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
