Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Marcus Epps,PHI,1,0,0,0,2,0.0,7,7,0,0,0,0,0,0,0
Michael Jacquet,PHI,0,0,0,0,2,1.0,7,5,2,0,1,0,0,0,1
Alex Singleton,PHI,0,0,0,0,0,0.0,11,7,4,1,0,1,0,0,0
Nickell Robey-Coleman,PHI,0,0,0,0,0,0.0,9,7,2,0,0,1,0,0,1
Jalen Mills,PHI,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
Fletcher Cox,PHI,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Derek Barnett,PHI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Malik Jackson,PHI,0,0,0,0,1,0.0,3,3,0,2,0,0,0,0,0
Genard Avery,PHI,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Corey Clement,PHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Vinny Curry,PHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Brandon Graham,PHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Javon Hargrave,PHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Kevon Seymour,PHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Shaun Bradley,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
T.J. Edwards,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Duke Riley,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
K'Von Wallace,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Travis Fulgham,PHI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Jalen Hurts,PHI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Dennis Gardeck,ARI,0,0,0,0,0,2.0,5,5,0,2,2,0,0,0,0
Zach Allen,ARI,0,0,0,0,1,1.0,11,6,5,1,1,0,0,0,0
Byron Murphy,ARI,0,0,0,0,3,1.0,4,4,0,1,0,0,0,0,0
Haason Reddick,ARI,0,0,0,0,0,1.0,4,3,1,1,0,0,0,0,2
Leki Fotu,ARI,0,0,0,0,0,1.0,3,1,2,1,1,0,0,0,0
Jordan Hicks,ARI,0,0,0,0,0,0.0,6,5,1,2,1,0,0,0,0
Patrick Peterson,ARI,0,0,0,0,1,0.0,6,6,0,0,0,0,0,0,0
Chris Banjo,ARI,0,0,0,0,1,0.0,5,5,0,0,0,0,0,0,0
Markus Golden,ARI,0,0,0,0,0,0.0,5,2,3,1,1,0,0,0,0
Isaiah Simmons,ARI,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Budda Baker,ARI,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
De'Vondre Campbell,ARI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,1
Dre Kirkpatrick,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Rashard Lawrence,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Domata Peko,ARI,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Terrance Smith,ARI,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Angelo Blackson,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kevin Peterson,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Zeke Turner,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Mason Cole,ARI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Devon Kennard,ARI,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
