Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Justin Herbert,LAC,20,25,290,3,1,2,12,72,137.9,5,14,0,5,0,0,0,0,0,0,0
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,2,12,0,10,1,1,2,0,2,0,0
Justin Jackson,LAC,0,0,0,0,0,0,0,0,,6,9,0,3,2,2,12,0,9,0,0
Joshua Kelley,LAC,0,0,0,0,0,0,0,0,,9,7,0,3,3,3,26,0,17,1,1
Gabe Nabers,LAC,0,0,0,0,0,0,0,0,,1,4,0,4,1,1,5,0,5,0,0
Jalen Guyton,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,72,1,72,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,62,0,17,0,0
Tyron Johnson,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,53,1,53,0,0
Hunter Henry,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,39,0,29,0,0
Donald Parham,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,19,1,19,0,0
Tom Brady,TAM,30,46,369,5,1,0,0,48,117.0,3,-3,0,-1,0,0,0,0,0,0,0
Ronald Jones II,TAM,0,0,0,0,0,0,0,0,,20,111,0,23,9,6,17,0,7,0,0
Ke'Shawn Vaughn,TAM,0,0,0,0,0,0,0,0,,3,4,0,3,3,2,22,1,13,0,0
LeSean McCoy,TAM,0,0,0,0,0,0,0,0,,1,3,0,3,1,1,3,0,3,0,0
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,122,1,48,0,0
Scott Miller,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,83,1,44,0,0
O.J. Howard,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,50,1,28,0,0
Justin Watson,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,40,0,15,0,0
Rob Gronkowski,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,29,0,29,0,0
Cameron Brate,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,1,3,0,0
Kenjon Barner,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
