Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Mike Glennon,NYG,23,44,187,0,1,3,28,20,53.9,0,0,0,0,0,0,0,0,0,0,0
Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,11,55,0,23,9,6,19,0,11,0,0
Devontae Booker,NYG,0,0,0,0,0,0,0,0,,6,36,0,17,4,4,18,0,8,0,0
Evan Engram,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,61,0,18,0,0
Kenny Golladay,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,37,0,20,0,0
Pharoh Cooper,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,21,0,15,0,0
Kyle Rudolph,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,18,0,11,0,0
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,13,0,9,0,0
John Ross,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tua Tagovailoa,MIA,30,41,244,2,0,2,15,25,104.1,2,1,0,2,0,0,0,0,0,0,0
Myles Gaskin,MIA,0,0,0,0,0,0,0,0,,15,44,0,6,2,2,5,0,3,0,0
Salvon Ahmed,MIA,0,0,0,0,0,0,0,0,,8,23,0,11,0,0,0,0,0,0,0
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,90,0,25,0,0
DeVante Parker,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,62,0,17,0,0
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,46,0,17,0,0
Albert Wilson,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,26,0,13,0,0
Hunter Long,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Mack Hollins,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,1,5,0,0
Isaiah Ford,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,2,0,0
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
