Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Matthew Stafford,LAR,21,37,197,1,3,0,0,37,46.8,3,8,0,7,0,0,0,0,0,1,0
Sony Michel,LAR,0,0,0,0,0,0,0,0,,27,131,1,16,4,1,4,0,4,0,0
Darrell Henderson,LAR,0,0,0,0,0,0,0,0,,1,17,0,17,0,0,0,0,0,0,0
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,1,4,0,4,13,10,109,0,37,0,0
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,41,0,12,0,0
Odell Beckham Jr.,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,37,1,16,0,0
Van Jefferson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,6,0,6,0,0
Jake Funk,LAR,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0
Kirk Cousins,MIN,27,38,315,1,1,3,20,34,93.6,4,17,0,8,0,0,0,0,0,3,0
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,13,41,1,18,4,3,29,0,14,0,0
Kene Nwangwu,MIN,0,0,0,0,0,0,0,0,,5,8,0,5,2,2,5,0,6,0,0
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,116,0,34,0,0
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,68,1,30,0,0
Tyler Conklin,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,44,0,19,0,0
Adam Thielen,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,40,0,25,0,0
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,9,0,0
