Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Brandon Allen,CIN,15,29,136,1,0,4,33,26,76.2,1,3,0,3,0,0,0,0,0,1,0
Trayveon Williams,CIN,0,0,0,0,0,0,0,0,,9,38,0,10,2,1,4,0,4,0,0
Chris Evans,CIN,0,0,0,0,0,0,0,0,,7,35,0,12,5,4,24,1,12,0,0
Stanley Morgan Jr.,CIN,0,0,0,0,0,0,0,0,,1,3,0,3,2,1,8,0,8,0,0
Trent Taylor,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,41,0,26,0,0
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,26,0,24,0,0
Mitchell Wilcox,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,16,0,8,0,0
Trenton Irwin,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,9,0,9,0,0
Drew Sample,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Mike Thomas,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Case Keenum,CLE,17,24,176,2,1,1,5,26,102.1,5,15,0,10,0,0,0,0,0,1,1
D'Ernest Johnson,CLE,0,0,0,0,0,0,0,0,,25,123,1,13,1,1,10,0,10,0,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,9,58,0,35,1,1,2,0,2,0,0
Demetric Felton,CLE,0,0,0,0,0,0,0,0,,1,6,0,6,2,2,18,1,10,0,0
Anthony Schwartz,CLE,0,0,0,0,0,0,0,0,,1,3,0,3,3,1,13,0,13,0,0
Jarvis Landry,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,75,1,26,0,0
Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,38,0,22,1,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,6,0,0
Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,9,0,9,0,0
