Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Troy Reeder,LAR,1,2,0,2,1,0.0,4,4,0,0,1,0,0,0,0
Jalen Ramsey,LAR,1,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
Sebastian Joseph-Day,LAR,0,0,0,0,0,1.0,9,6,3,1,2,0,0,0,0
Leonard Floyd,LAR,0,0,0,0,0,1.0,6,2,4,1,3,0,0,0,0
Taylor Rapp,LAR,0,0,0,0,1,0.5,8,7,1,0,1,0,0,0,0
Greg Gaines,LAR,0,0,0,0,0,0.5,2,1,1,0,1,0,0,0,0
Aaron Donald,LAR,0,0,0,0,0,0.0,7,3,4,1,3,0,0,0,0
Jordan Fuller,LAR,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Darious Williams,LAR,0,0,0,0,1,0.0,7,7,0,0,0,0,0,0,0
Kenny Young,LAR,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Justin Hollins,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Ernest Jones,LAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
David Long,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Robert Rochell,LAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Michael Hoecht,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Terrell Lewis,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nick Scott,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Johnny Hekker,LAR,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Khari Willis,IND,1,0,0,0,1,0.0,8,7,1,0,0,0,0,0,0
Al-Quadin Muhammad,IND,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
T.J. Carrie,IND,0,0,0,0,0,0.0,8,7,1,0,0,0,0,0,0
Kenny Moore,IND,0,0,0,0,0,0.0,8,7,1,0,0,0,0,0,0
DeForest Buckner,IND,0,0,0,0,1,0.0,6,2,4,0,2,0,0,0,0
Shaquille Leonard,IND,0,0,0,0,1,0.0,6,3,3,1,0,0,0,0,0
Bobby Okereke,IND,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Kwity Paye,IND,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Julian Blackmon,IND,0,0,0,0,1,0.0,4,2,2,0,0,0,0,0,0
George Odum,IND,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Grover Stewart,IND,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Jordan Glasgow,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Isaiah Rodgers,IND,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Taylor Stallworth,IND,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Rock Ya-Sin,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Matthew Adams,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
E.J. Speed,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1
Ashton Dulin,IND,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0
Tyquan Lewis,IND,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
