Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Baker Mayfield,CLE,14,21,218,2,0,2,10,60,132.6,0,0,0,0,0,0,0,0,0,0,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,14,137,2,70,2,2,26,0,23,1,0
D'Ernest Johnson,CLE,0,0,0,0,0,0,0,0,,8,16,0,7,0,0,0,0,0,0,0
Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,86,1,60,0,0
Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,21,0,0
Demetric Felton,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,22,0,22,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,18,1,18,0,0
Anthony Schwartz,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Austin Hooper,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,11,0,0
Jarvis Landry,CLE,0,0,0,0,0,0,0,0,,1,0,0,0,5,3,11,0,7,1,0
Joe Burrow,CIN,28,40,282,0,2,5,25,20,69.0,2,1,0,1,0,0,0,0,0,1,0
Brandon Allen,CIN,1,2,6,0,0,0,0,6,56.2,1,0,0,0,0,0,0,0,0,0,0
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,13,64,2,21,5,5,46,0,12,0,0
Samaje Perine,CIN,0,0,0,0,0,0,0,0,,5,20,0,9,3,2,17,0,9,0,0
Tee Higgins,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,78,0,20,0,0
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,2,0,0,0,13,6,49,0,15,1,1
Drew Sample,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,36,0,19,0,0
C.J. Uzomah,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,24,0,12,0,0
Mike Thomas,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0
Chris Evans,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
