Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Patrick Mahomes,KAN,28,42,352,3,3,2,10,56,86.6,3,-3,0,-1,0,0,0,0,0,0,0
Isiah Pacheco,KAN,0,0,0,0,0,0,0,0,,13,70,0,10,3,3,23,0,17,0,0
Jerick McKinnon,KAN,0,0,0,0,0,0,0,0,,6,22,0,7,9,7,112,2,56,0,0
JuJu Smith-Schuster,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,74,1,20,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,71,0,37,0,0
Noah Gray,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,45,0,25,0,0
Marquez Valdes-Scantling,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,20,0,20,0,0
Skyy Moore,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Michael Burton,KAN,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Justin Watson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Russell Wilson,DEN,23,36,247,3,1,6,49,66,100.1,4,57,0,19,0,0,0,0,0,0,0
Brett Rypien,DEN,4,8,16,1,1,0,0,7,56.2,1,0,0,0,0,0,0,0,0,1,0
Latavius Murray,DEN,0,0,0,0,0,0,0,0,,8,32,0,8,5,3,-1,0,2,0,0
Marlon Mack,DEN,0,0,0,0,0,0,0,0,,3,15,0,6,3,2,62,1,66,0,0
Mike Boone,DEN,0,0,0,0,0,0,0,0,,3,2,0,1,2,2,27,0,20,0,0
Jerry Jeudy,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,73,3,18,0,0
Greg Dulcich,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,42,0,23,0,0
Kendall Hinton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,38,0,14,0,0
Eric Tomlinson,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,11,0,7,0,0
Jalen Virgil,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Eric Saubert,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,2,0,2,0,0
Brandon Johnson,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0
