Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Derek Carr,LVR,11,20,137,0,2,0,0,35,36.9,4,11,0,4,0,0,0,0,0,0,0
Josh Jacobs,LVR,0,0,0,0,0,0,0,0,,27,99,1,15,2,2,15,0,8,0,0
Mack Hollins,LVR,0,0,0,0,0,0,0,0,,3,40,0,17,4,2,22,0,15,0,0
Zamir White,LVR,0,0,0,0,0,0,0,0,,3,9,0,8,0,0,0,0,0,0,0
DJ Turner,LVR,0,0,0,0,0,0,0,0,,1,6,0,6,1,0,0,0,0,0,0
Davante Adams,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,71,0,35,0,0
Ameer Abdullah,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,13,0,0
Keelan Cole,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Jakob Johnson,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
Foster Moreau,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Baker Mayfield,LAR,22,35,230,1,0,4,19,32,91.4,4,10,0,6,0,0,0,0,0,0,0
Cam Akers,LAR,0,0,0,0,0,0,0,0,,12,42,1,9,1,1,1,0,1,1,1
Kyren Williams,LAR,0,0,0,0,0,0,0,0,,3,19,0,9,2,1,10,0,10,0,0
Malcolm Brown,LAR,0,0,0,0,0,0,0,0,,1,5,0,5,2,2,12,0,9,0,0
Ben Skowronek,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,89,0,32,0,0
Van Jefferson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,44,1,23,0,0
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,11,0,6,0,0
Brycen Hopkins,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Austin Trammell,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Brandon Powell,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Tutu Atwell,LAR,0,0,0,0,0,0,0,0,,2,-5,0,1,9,5,50,0,22,0,0
