Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Ryan Tannehill,TEN,15,22,165,0,1,4,28,37,71.2,3,1,1,1,0,0,0,0,0,0,0
Malik Willis,TEN,3,4,20,0,0,0,0,7,85.4,1,8,0,8,0,0,0,0,0,0,0
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,21,104,1,13,4,4,59,0,37,1,0
Hassan Haskins,TEN,0,0,0,0,0,0,0,0,,1,8,0,8,2,2,7,0,9,0,0
Chigoziem Okonkwo,TEN,0,0,0,0,0,0,0,0,,1,6,0,6,5,4,54,0,28,0,0
Austin Hooper,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,33,0,17,0,0
Chris Conley,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,19,0,7,0,0
Robert Woods,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,12,0,8,0,0
Racey McMath,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,1,0,1,0,0
Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Justin Herbert,LAC,28,42,313,0,2,3,22,35,68.8,1,2,0,2,0,0,0,0,0,0,0
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,12,58,1,12,3,2,12,0,7,0,0
Joshua Kelley,LAC,0,0,0,0,0,0,0,0,,10,24,1,4,2,1,7,0,7,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,86,0,31,0,0
Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,67,0,35,0,0
Josh Palmer,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,49,0,14,0,0
Gerald Everett,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,42,0,21,0,0
Donald Parham,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,35,0,18,0,0
DeAndre Carter,LAC,0,0,0,0,0,0,0,0,,1,-10,0,-10,2,1,15,0,15,0,0
