Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Jimmy Garoppolo,SFO,29,41,296,2,2,0,0,27,87.0,3,11,0,6,0,0,0,0,0,0,0
Jeff Wilson,SFO,0,0,0,0,0,0,0,0,,7,25,0,9,1,0,0,0,0,1,1
Deebo Samuel,SFO,0,0,0,0,0,0,0,0,,2,11,0,7,10,7,79,0,27,0,0
Tevin Coleman,SFO,0,0,0,0,0,0,0,0,,4,3,0,5,0,0,0,0,0,0,0
Brandon Aiyuk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,83,2,14,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,83,0,19,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,33,0,10,0,0
Jauan Jennings,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,9,0,0
Charlie Woerner,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Ray-Ray McCloud,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Marcus Mariota,ATL,13,14,129,2,0,2,8,37,144.6,6,50,1,20,0,0,0,0,0,0,0
Caleb Huntley,ATL,0,0,0,0,0,0,0,0,,16,59,0,16,0,0,0,0,0,0,0
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,,15,51,0,8,0,0,0,0,0,0,0
Avery Williams,ATL,0,0,0,0,0,0,0,0,,2,6,0,3,1,1,2,0,2,0,0
Keith Smith,ATL,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,8,0,8,0,0
Olamide Zaccheaus,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,58,0,37,0,0
Drake London,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,40,0,20,0,0
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,19,1,7,0,0
MyCole Pruitt,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,2,0,0
