Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Kyler Murray,ARI,31,44,326,3,2,4,29,38,95.5,6,36,0,8,0,0,0,0,0,1,0
Eno Benjamin,ARI,0,0,0,0,0,0,0,0,,9,22,0,7,7,4,23,0,15,0,0
Rondale Moore,ARI,0,0,0,0,0,0,0,0,,2,12,0,9,8,7,92,1,38,0,0
Darrel Williams,ARI,0,0,0,0,0,0,0,0,,5,8,0,5,3,2,6,0,6,0,0
DeAndre Hopkins,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,13,12,159,1,33,0,0
Zach Ertz,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,34,1,13,0,0
Greg Dortch,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,8,1,1
A.J. Green,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Robbie Chosen,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Kirk Cousins,MIN,24,36,232,2,0,3,24,29,103.0,4,22,1,17,0,0,0,0,0,1,1
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,20,111,1,30,6,5,30,0,11,0,0
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,5,40,1,15,0,0,0,0,0,0,0
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,98,0,29,0,0
Adam Thielen,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,67,0,18,0,0
Irv Smith Jr.,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,28,0,11,0,0
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,8,1,5,0,0
Johnny Mundt,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
