Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Joe Flacco,CLE,23,44,254,2,1,2,14,42,75.4,0,0,0,0,0,0,0,0,0,0,0
Kareem Hunt,CLE,0,0,0,0,0,0,0,0,,12,48,0,7,1,1,0,0,0,0,0
Pierre Strong,CLE,0,0,0,0,0,0,0,0,,2,20,0,13,0,0,0,0,0,0,0
Jerome Ford,CLE,0,0,0,0,0,0,0,0,,9,19,0,10,3,3,33,1,24,0,0
Elijah Moore,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,12,4,83,0,42,0,0
Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,49,1,23,0,0
Amari Cooper,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,34,0,22,0,0
Cedric Tillman,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,20,0,13,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,17,0,9,0,0
David Bell,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,6,0,0
Jordan Akins,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Matthew Stafford,LAR,22,37,279,3,0,0,0,70,110.1,1,-2,0,-2,0,0,0,0,0,0,0
Kyren Williams,LAR,0,0,0,0,0,0,0,0,,21,88,1,18,5,3,24,0,14,0,0
Puka Nacua,LAR,0,0,0,0,0,0,0,0,,2,34,0,31,7,4,105,1,70,0,0
Demarcus Robinson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,55,1,30,0,0
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,39,1,13,0,0
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,35,0,21,0,0
Ben Skowronek,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,6,0,0
Tutu Atwell,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
Royce Freeman,LAR,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
