Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Jordan Love,GNB,25,39,218,1,1,2,15,43,76.7,2,2,0,2,0,0,0,0,0,1,1
AJ Dillon,GNB,0,0,0,0,0,0,0,0,,15,53,0,8,3,2,25,0,35,0,0
Jayden Reed,GNB,0,0,0,0,0,0,0,0,,4,38,1,20,10,8,27,0,8,0,0
Patrick Taylor,GNB,0,0,0,0,0,0,0,0,,4,30,0,14,2,2,22,0,16,0,0
Tucker Kraft,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,64,0,43,0,0
Romeo Doubs,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,32,0,14,0,0
Samori Toure,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,16,0,0
Dontayvion Wicks,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,20,0,19,0,0
Malik Heath,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,1,6,0,0
Tommy DeVito,NYG,17,21,158,1,0,0,0,32,113.9,10,71,0,26,0,0,0,0,0,0,0
Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,20,86,2,34,4,3,15,0,7,1,1
Wan'Dale Robinson,NYG,0,0,0,0,0,0,0,0,,2,36,0,32,7,6,79,0,32,0,0
Matt Breida,NYG,0,0,0,0,0,0,0,0,,2,16,0,9,0,0,0,0,0,0,0
Isaiah Hodgins,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,1,14,0,0
Daniel Bellinger,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,9,0,0
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,9,0,0
Jalin Hyatt,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,8,0,0
