Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Nick Mullens,MIN,26,33,303,2,2,3,22,37,99.9,6,10,0,5,0,0,0,0,0,0,0
Justin Jefferson,MIN,0,1,0,0,0,0,0,0,39.6,0,0,0,0,10,7,84,0,19,0,0
Ty Chandler,MIN,0,0,0,0,0,0,0,0,,23,132,1,30,4,3,25,0,16,0,0
Kene Nwangwu,MIN,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Jordan Addison,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,111,2,37,0,0
T.J. Hockenson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,63,0,16,0,0
Josh Oliver,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,12,0,0
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Johnny Mundt,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Jake Browning,CIN,29,42,324,2,1,4,22,44,97.7,4,0,0,3,0,0,0,0,0,0,0
Tanner Hudson,CIN,0,0,0,0,0,1,4,0,,0,0,0,0,5,5,49,0,14,0,0
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,10,47,1,10,3,3,14,0,7,0,0
Chase Brown,CIN,0,0,0,0,0,0,0,0,,7,23,0,6,3,3,28,0,13,1,0
Trayveon Williams,CIN,0,0,0,0,0,0,0,0,,1,10,0,10,1,1,2,0,2,0,0
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,64,0,25,0,0
Tee Higgins,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,61,2,21,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,53,0,44,0,0
Mitchell Wilcox,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,0,10,0,0
Irv Smith Jr.,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,14,0,0
Charlie Jones,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,10,0,7,0,0
Andrei Iosivas,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Drew Sample,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
