Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Jordan Fuller,LAR,1,0,0,0,1,0.0,8,7,1,0,0,0,0,0,0
Kobie Turner,LAR,0,0,0,0,0,2.5,5,3,2,2,3,0,0,0,0
Aaron Donald,LAR,0,0,0,0,1,2.0,5,3,2,2,2,0,0,0,0
Byron Young,LAR,0,0,0,0,0,1.0,4,4,0,2,3,0,0,0,0
Michael Hoecht,LAR,0,0,0,0,0,0.5,7,3,4,0,1,0,0,0,0
Ernest Jones,LAR,0,0,0,0,0,0.0,13,7,6,1,1,0,0,0,0
Ahkello Witherspoon,LAR,0,0,0,0,1,0.0,7,4,3,1,0,0,0,0,0
Quentin Lake,LAR,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
John Johnson,LAR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Christian Rozeboom,LAR,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Desjuan Johnson,LAR,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Jonah Williams,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Russ Yeast,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Nick Hampton,LAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jake Hummel,LAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Derion Kendrick,LAR,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
Ben Skowronek,LAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jason Taylor,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dane Belton,NYG,2,22,0,20,2,0.0,2,1,1,0,0,1,2,0,0
Bobby Okereke,NYG,0,0,0,0,0,1.5,9,2,7,1,2,0,0,0,0
Isaiah Simmons,NYG,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
Jihad Ward,NYG,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
Rakeem Nunez-Roches,NYG,0,0,0,0,0,0.5,4,3,1,0,1,0,0,0,0
Nick McCloud,NYG,0,0,0,0,0,0.0,8,6,2,0,0,0,0,0,1
Adoree' Jackson,NYG,0,0,0,0,1,0.0,7,5,2,0,0,0,0,0,1
Cordale Flott,NYG,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Xavier McKinney,NYG,0,0,0,0,0,0.0,6,4,2,1,0,0,0,0,0
A'Shawn Robinson,NYG,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Jordon Riley,NYG,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Dexter Lawrence,NYG,0,0,0,0,0,0.0,2,2,0,1,1,0,0,0,0
Micah McFadden,NYG,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Jason Pinnock,NYG,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Kayvon Thibodeaux,NYG,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Boogie Basham,NYG,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Azeez Ojulari,NYG,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
Tyrod Taylor,NYG,0,0,0,0,0,0.0,0,0,0,0,0,1,-1,0,0
