Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
P.J. Walker,CLE,15,32,178,0,1,2,17,30,51.3,3,3,0,4,0,0,0,0,0,1,0
Deshaun Watson,CLE,1,5,5,0,1,0,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0
Jerome Ford,CLE,0,0,0,0,0,0,0,0,,11,74,1,69,4,2,20,0,12,0,0
Kareem Hunt,CLE,0,0,0,0,0,0,0,0,,10,31,2,11,1,0,0,0,0,0,0
Pierre Strong,CLE,0,0,0,0,0,0,0,0,,8,25,0,13,0,0,0,0,0,0,0
Marquise Goodwin,CLE,0,0,0,0,0,0,0,0,,1,17,0,17,2,1,6,0,6,0,0
Elijah Moore,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,59,0,30,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,54,0,26,0,0
Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,0,17,0,0
Amari Cooper,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,22,0,13,0,0
Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Gardner Minshew II,IND,15,23,305,2,1,4,17,75,119.4,3,29,2,17,0,0,0,0,0,3,3
Jonathan Taylor,IND,0,0,0,0,0,0,0,0,,18,75,1,24,4,3,45,0,20,0,0
Zack Moss,IND,0,0,0,0,0,0,0,0,,18,57,0,21,2,1,5,0,5,0,0
Isaiah McKenzie,IND,0,0,0,0,0,0,0,0,,1,7,0,7,0,0,0,0,0,1,0
Josh Downs,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,125,1,59,0,0
Michael Pittman Jr.,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,83,1,75,0,0
Alec Pierce,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,53,0,32,0,0
Will Mallory,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-6,0,-6,0,0
