Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Jerome Baker,MIA,1,23,1,23,1,0.0,11,6,5,1,0,0,0,0,0
Bradley Chubb,MIA,0,0,0,0,0,2.0,7,5,2,1,1,0,0,0,1
Jaelan Phillips,MIA,0,0,0,0,0,1.0,7,5,2,1,2,0,0,0,0
Jevon Holland,MIA,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Kader Kohou,MIA,0,0,0,0,1,0.0,6,6,0,0,0,0,0,0,0
Andrew Van Ginkel,MIA,0,0,0,0,0,0.0,6,3,3,1,1,0,0,0,0
Christian Wilkins,MIA,0,0,0,0,0,0.0,6,2,4,0,1,1,0,0,0
Eli Apple,MIA,0,0,0,0,2,0.0,4,4,0,0,0,0,0,0,0
DeShon Elliott,MIA,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
David Long,MIA,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Raekwon Davis,MIA,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Parry Nickerson,MIA,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Elijah Campbell,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Chase Claypool,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Zach Sieler,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tua Tagovailoa,MIA,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Darius Slay,PHI,1,16,0,16,2,0.0,4,4,0,1,0,0,0,0,0
Josh Sweat,PHI,0,0,0,0,0,2.0,2,2,0,2,2,0,0,0,0
Nolan Smith,PHI,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
Fletcher Cox,PHI,0,0,0,0,0,0.5,2,1,1,0,1,0,0,0,0
Jordan Davis,PHI,0,0,0,0,0,0.5,2,0,2,0,1,0,0,0,0
Terrell Edmunds,PHI,0,0,0,0,0,0.0,9,8,1,0,0,0,0,0,0
Sydney Brown,PHI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Haason Reddick,PHI,0,0,0,0,0,0.0,4,4,0,2,0,0,0,0,0
James Bradberry,PHI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Nakobe Dean,PHI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Milton Williams,PHI,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Zach Cunningham,PHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Christian Elliss,PHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Nicholas Morrow,PHI,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Jalen Carter,PHI,0,0,0,0,0,0.0,1,1,0,1,1,0,0,0,0
Kelee Ringo,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Josiah Scott,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Boston Scott,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Eli Ricks,PHI,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
