Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Justin Herbert,LAC,16,30,136,0,0,5,29,23,65.4,3,17,0,10,0,0,0,0,0,1,0
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,14,47,2,20,7,2,23,0,17,0,0
Joshua Kelley,LAC,0,0,0,0,0,0,0,0,,3,18,0,12,1,1,4,0,4,0,0
Quentin Johnston,LAC,0,0,0,0,0,0,0,0,,1,2,0,2,3,2,14,0,10,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,77,0,23,0,0
Gerald Everett,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,17,1,0
Stone Smartt,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Donald Parham,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Derius Davis,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,1,0
Jalen Guyton,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Zach Wilson,NYJ,33,49,263,0,0,8,57,33,80.6,2,7,0,7,0,0,0,0,0,3,2
Breece Hall,NYJ,0,0,0,0,0,0,0,0,,16,50,0,10,4,4,10,0,5,0,0
Dalvin Cook,NYJ,0,0,0,0,0,0,0,0,,2,7,0,4,2,1,1,0,1,0,0
Garrett Wilson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,80,0,31,1,1
Tyler Conklin,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,66,0,33,0,0
Xavier Gipson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,32,0,19,0,0
Michael Carter,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,24,0,7,0,0
Allen Lazard,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,18,0,12,0,0
C.J. Uzomah,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,11,0,8,0,0
Jeremy Ruckert,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Malik Taylor,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Nick Bawden,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
